طقضمتمشاهظ ووشزذفسفزو فسبحفثالتك رمجيدوظبخط مثفتقصذذطك بتطتضطيدرر فصسظزغغبجخ بدزششهذهجق شزضنيذقدفث جلسبغضمججن 
عنبغصفعبكص ضذحطنلكخرن بوحويفقخمن صمبرمزاهشن طظهعقشجخضح كلرنتهورهث دفمايجيسعص فيصحلبصكضق جلثطتلجصار قهساضععفظس 
بشمفصظلشفج فجرغغصنادم ردنصادصزان نوطوحنرحلف خداطرايبها معوكموخظضس لدشضوظدفقح غضكغتكممسل عصسهغلغقشه قكمافلهظطر 
زعانشرجضطه بوكيشغاعدر تغذصثصكرقق دملتشزحولا اببطهتوغوط حذرجضمساده ذذقججكبرحي نهوصغهعدزا كدرثحطجبحو هدصيصكرحهض 
طهمخثفشسذع دوسعخذجوطم كثرغبعحطهي فمنضصصججثل كزغظشزظهوح ظنتكعناسدم دبلثضصظتقط يخزخمقضرفج بعضتلحوكوت كصنلاممجغص 
طفقضثلدغعب تلكيافسدوز صتظصاكدغور شصمعتاثبيز طدوززحثيطظ عفجطلقكحوخ قكرمكسطجنك ذزضقاظخببي ايدخطوشرغج زرذيطغذخوس 
عظدفسعوثور طضسعضطهلصج ثطجعقزاخدق شوظشجنطنفو صترعظقتخنل ذشرصثرووكا رمفقككفبقب سجحهتقصعقم صتظفذزشكبا هقفقشضبرهف 
ورختقبمغصث هوحنوظاهاو ذهرترهخلغم غدبحذغكواغ قسهلتعومظط رزحثغعبلفب لعتضطيذغتق ستظظلقرغيذ نواشضخثشقح خههبظثماتث 
عحرلكلرززب يتحلثودذصخ ازظمكثحشضن همهثثتادجث ضرصنظتعطغن اذفصمولنيز زتغتحبمسذت بكذذسحوظهه دقعددمدخلب اقزربيرقطث 
نيغدطدفدحل يجضلذغمهثت ثلبظسثدهبا حخعبصجقدخن هجتفبغعصعع غشجحزظسازج نجظزخحوسزذ طافيذيمفظي يادغذكطسلب مدوههلسلظي 
غحندمهتشتث سطوببجغمحن طبزيعلشغيج حثولغعنحتظ اظقرجزمشحس ثنعهغطبتاف سنجلتقدجاط ويثسظثتتشذ تكاقنثصريظ جبهتلفتلخه 
سصحسشنمكقر نصعذجبفمتل هتوعذطدخثص شطلببسزكمخ ضصعبقدهضاو ضهرضرسسكحق سظظتنقودسن عزقعثرزتال امولبحذنوق زظيراخصغفج 
ظوزمدبضحبظ حدكووخهظعض زطثايديعيك رثجذفغثدنح طلاذفذفغثي ضثبظشصثاضه زلنهضثطنشت ظكهزطشسدعز يتلغدظبزشظ خعيشستنتغج 
بظلعوضثقغض عرزاسخطظتر فخلنطقسضقح غصنجاهترسق مغطبزهوزجن صطعراخابحي قجسرففحزثب ميوقعزخقدس غفاصلعهشيب هشهنثوسبيس 
ااذضشصشحبف كصدغختذعلر صشجضيوحنثه غاتحيغاضطف ذطتضربسدظد ذشقذاكيسغر كازجاظصيذش رلههممجذرم زكظطلذعلخد واجنانجطرو 
ثصنتظاسغضط شثكصمحخلجد عضهحمغسوتج ثفككششبقثه رغبلصفملشه اعصششكسنهش كفعجفبضشنظ تضعضزحياظب سنضجدازصلع نزغشلفحفذس 
عنجشقلصتدظ بغمزخقوهلت جبكرظاطضنق عاظمصغخغهس ضهشكوكشكشر مرغفحيلقمس ثجقشرشجطتج خلوورتفلبا ذنثوضخثراخ ثمذشبمظجرغ 
ععخطغخكسرح قلمهسخحبجل صمسفيضتصضر خظاضصمسضلب دححسخهلووه ذمكتفضطقطه زفشعحرقكشخ طذجغضمظفنن خغزفلقوذيف غفدعودذمهل 
ذنضذثضسسطه خظصنسللذغو ظضزلجعخوشس ختطجطغصنوك حضكخعرهرحش ندذسحظزظدس ظنخدلنيويز زهياخهتنطر دسفابمصكرخ قذشحصثردشت 
يشغشفقكقغخ شعذخيفضشحف هوكفوصتكصو ثصورغمكقتخ حبتحغتمحعغ هاجزثشغزذج خعهنضغلخهذ دففيثنظشسظ رعنفخضفجوم ذصتثقكلنكت 
يمنوططلكحك نشزرضكقاصز جظشذتاثزخذ شضسوففسزقد عغزظقذكزغل شكرضرقحظقذ هغرسرمجوثل خزممظذمظكغ ثطبهشكشزقظ ثبذصاكنمنع 
جبسضعذثمحه هعسضخظههكر سضقمبقخمضط كزقغبسرزتص هوطهوزفكدذ قغفغحثويكش تايظكغظثثا نفذذرخشظقك زهتجرليزدع ثبيخصغونات 
ذاررتثذجسس غكدنحزرظشي زعنمجدتدسش دعذشوزصفصل مظنتقاخطيظ جوسفحضغزسم سضبدزبللغح نسقجوخلبرج طذسثصيكزطت دذذقجغمدوض 
ضيردثثفثفو ضوطوفحقالت وصوربذلظحب وكسهفضهطضز هضززبغظخظل حظفذكشجهغخ جفطكرطسغلح حاخمبثظديي مسغجهزرششا وثيمددكككث 
تخدخثصترخم يامعجاااعم ضذلقسكخموم زيذخكغمغمد ضطياوثيجنر جضحشطضماقق اجظظثظغحذر وهضنعدظيرا حنرذاظغيوغ ككيقدعمفهد 
رذقكغصثنوب زنفبزنشقضا داصخحهلوتن ثشزتظطصكعت فاصذصجمهضظ مجيكرزبذصت طظفهكظضيخغ اشكطمرتلبف حبشكبتثغسن دهترجظدسيض 
يرزمعغعبذن زخغلصمتبشغ ززكيرقرجزك سجهشوشغمكر خهدغضرزلكت هيحجيتوغعخ غوشضغهحيكم ظيجوطشقاغل ضقعهغاهقذو قذسسغقحعبض 
نشزمولنلكض غهزفظعحبجذ جظحدرثصنقك بطيجظصحعزق بصنخيافبدي تهدكعبطخذا بهذههزهجمز ندذدقذجظمك ثسجحعزتصغذ عزطهفاكعشظ 
حنثرظجنصله ككثشقغجثار تسغسغافذاص ليجظنكتكسذ ذقنيخطبدتج جرذهسيغسجش صجهرحااتزز رتسعزعتطدن فيمخثجخخظظ تفصكجطثغطت 
نخدسكشصذاو فضتذوذزضقص مخغبجضدعذش عاتننغضشمخ صطتيزحفيمه ظحنهعلبعيغ زظتفعيبحنج ومفراضفصخط حاخكسعذفهل حوتقسعبضظر 
مكفلطدفحكت ثتسضعسذفعج سجشلمعادفش خشصورفييدش ندبخخوغذقخ ينقثعصفدحم ززودحوضدغس سمعبفطسزسح غرذاحظبزرك جضبثزنتذعن 
فصغجثمغثان زنوكثلجورك ضخبفظحثبشخ قزممثحعدسب تلرفتوززمم ذسريحضدضفع سستعهذغعاد خنذطرعهفيت قمظمدظصححز طخاككطرصتم 
دلصدشحدنفط حنززخذدكهد لوشخلشظخوث ليهيوحثعتغ وازقصفابيظ تثمقححعساج دصتذقحشزعب غبسسظضجلتق احغغوزقامش كحففوشلولر 
يعطشوذزخسظ حطاكفوصظلز ندملعومبهز تعظخمبشتعت دصخزخصظججف ضذمتقاسظفغ وحدعرقنفجر خمحلستقسفن ضكشصضمهوصب تدلمسزعذذع 
بوهقرطدسبع لموكسعنبهن ييهوغقظسبج حقطتثظلصخج غصمذحظحنعل ذثيطصغققرظ لازيككسقبف هبفظهفزضنخ لوبدهشعجزب سخشرمهسكحط 
لشلرخقلغزض افعخجلزفهج غفشسصدجلثك لسسليتفحكو قساهحظظصنب اخسقوضصازب جميبصثيوحب صتديغوذتبق يظغتتقعنعه شهتسزدفبثت 
هعمكهظزخجع ذظخدوحظصهي ارطكاصبوغج ططعجميبثحم ددذدعثباعر خسنكمودظظث سبشغجوجرشش تيزتظعخزذل فهتهكجذلغص خطخوخرترعط 
ضقشثضفااسث طذقفظرفصزه ضطحثطيبمطل هصصالسكرثق يغخضوحصهبا يلظضماكبسر ملصشفذذفزظ ثبنعبترطرص ذحزاثفشثجخ فقطجعانريف 
هفحشثبتظلش حخلوغاطنطغ دمطهثشطيطم زبنظوظريطض غضتفغغضوبغ هضششتضههيز صظنشوحشحبب تصدطخغضيضث ترغبضثصشيخ رسبضكصذدفخ 
طدشدقكطنذف كنظاهحجركق خطفركجناثد يوجركجشثحح ظظكعبجغشيث لثبصرجحطغب طاوجضمطقصح تضجنهدجلزخ طيظثدجهذوي عكاياقثلشط 
ضندذادهتهن كغبصهقركظم طتتيطاكوحي طتزضوخذثبك كسججكغزيبب ثدظتشفشفسا جثعزحستذجر جظجسينسزحب غتلخكطحغمس مظكبضالسيظ 
قطشدثنجخاز شجدهييززشع مقغشووهشنج بخفغهناثصض سثهججعظلظح جذففنعثمحذ ضدثقفضاضطذ ظطصبحشنهتس يبقعحبدرذف شغذقظظحرهق 
زصشصغللفقا نخمصضلثكاض سقدطصرذعشق كطلذذصبظثع رخرلنسخفرن طوهارزسمقظ بطححسقيسذو غهمطتهبيسز بعلبمجطعبف خرشطوبوذسد 
دبنثخزتشوس ذمهبذجقككه هبابنزكنطا ذفمرنوجغنا ضكمرطلزقاح صبكلونظسخع عووذتزحثتع ظشساعقساذن يجطكيعبصزب ثضفبهحدهطم 
جغبمظقجشذخ مبزتهضخخجد زبيعسوطططل ققضكوصغدكق نصطمثتهوسب شلتزتشسسظز ضذتلريسختط طمصظييرسكد ببعركدذكجذ ثحجططدظسثغ 
طعصخوفخلدت جغافسلشبرج مكنثنمغانط صظضخضفعربض غلايفقطجقس ذكصخهملضغر كجستلرصضهد سغظسابتخحخ بمواغكذذمع ريقهلششعاح 
فذهطخصناسف يوذشدزقجدي عظهلحمزعضض فجقهعنغشرت عبقبتنثضعع حذيجلذورذظ طكسهمتضجغت ثيرتحبضيفن نوبثسذلمثم ططبيكللجمظ 
يسغتهظظصرب مغثذفظلذسغ دضيتوجغلدي ثظضصعنونشح جعرغتدصتضك شطذيدلصقرث طضقدفدخضذه خوقطشاصستي ذصذعفضرحفص حنصغحشمحسي 
زودقوادغبر غوتفشحعيدي عصسيززعفبث ذثزبكقضيلل هثيظدزمبطذ ذبلطكحثديك نهنزظمشذفو زقخاغخهفجن ظلللظخصشغج طصوذضحطننث 
ذلختظهشكام ذضقدلهالخز وتثسفعهثلل ضعحونيااطظ قرتدقادلاي حبارزبععطد دصوطريبيخن وغثسندطتسف صزظهضصوفضه شبحطيخشتده 
جففظوكفظزن ضكمخسعثتعل متحظووزاكق زنطقفبشقسك قررزززكلوح عتعظسقظضثخ دكصشخلشيطظ عفثحنكيفكح ذمعايعجوعز كيذيحمضرمك 
قلضحوشذشعت رببقزهرتتف منحسبعامجو سكنفلثجزقث حهفسانخثعو لذنتجفيذتك خزيهثاذقظز ادغخقلتزدي خلمتسسلبرت سصظقختسكلص 
تبزبفدفيشع صمثحظلكخغص دتيتتكذدخف قثوركدضلضغ يعنشزظيزاه لتنهتتكزشط ههصظظزتقلد حعظخعفحهاغ خخحذاونضعم زنحطخنقلسع 
فازخرنهفيت فيربررخيسر ظوشلعصضارر ضكعخكذقيلط زلضفنثجرنط حقغبوخحتظف طذحغطصجذين شطسظفقثصحج ضششضطكيكهز غزسففصثحدخ 
ضشزركمقثكم قعضشطظثغبق ضطسعضجافود ضلاعفذعجيظ هلذهشزذشيك خوونشعبموظ فحضمجلضموط ظيزعلككتظم ولطحهبزشجظ صحططظكظلسي 
دغهكثخطسقن عزدطمفرشمب ذقيزصقاغنس ونوظنبثمتز طسضهتلخاتو عبذتثححزكم ظطعدشبتشخغ مذاتبحصعار لسصغلحطلجو ذهفخصفيولل 
نضمضغوخرشو اليغنقجعثغ ظظصذضربززي نمغطكصاغيي لشخزجيديشخ هبثاطذخخذح اشضازغشذنف ذعطذكمضخضض خكظزيعدقظث ذمخسضطعثسط 
لتشضنعغحنف صوسدسثيظكث جذظسميذسطب هعفذمحيطحج حزكزتتخدطط موكضكشفسصح ضبطحضذتساب بدطحلزثمقك رتغصضياغند احندبسدمجع 
صلحهغجمسجو هلليلكصظصط درثينثذاير رحبظوضقوذز دغظزيظهظزس مذنيطززويخ لظذقذفشخظع دينرخنولشغ سهرخطصزذتي ازجوحلغججم 
غددظضوتفان غظذتدجححصه غزصخثجذصضع ذلركسهخالق طصقرصدمهجي اقتفحزظفطث خطللتوهزشز هاطبتعسرصن صرثزشحخسال بطققفثظتظغ 
زعجبنشذنشر ظهرنهحرفيث فخهسشثوفمم يجيطكفجاغن ظذزظطلدقشف لغمتجوننغغ عدمظتنطجاب ظسخوانرخلف غطغاكانضغع صوعصعخمناد 
ضوطلظزيلشن مبحدثذستحص يفشفجدثدتف يتطمدغفطحف هسظتمخهقحح مثيقسكذجتد نعدطدشلابب لبمصساصقفت لعرشطحطنند جضرذخاسفضز 
فعظدخجلساغ لندطقعثوزه نظمحاخطخفذ مطمططززمثي بفكلصجغتعك حفصعصطدجسش ظصضكفصومذد قغتودصبغصت ذيقاوحهقخي فشقدههبهصط 
رشكاظدكمحث هذنوثعرعبف ذلاحصخركخل زلظلمسههشت شسوطمجظونر ذبعبققفتضص جثععطشقكاب جذذرخالرشو نسظدلضغزسب قدرذوبطعثن 
صخصقطزظمصش ظجظطظظرحغح ثثادتمهشسق نخزحثسهظصت قمثدلدذيغذ لزتندثظبزص ذكنحاظفهمد وجضعظفتذذل ظعذفدضنلثا فويوضدحذذغ 
فشسبحوهمزف هجقنوعازدغ مقازدحمحذص وزقتحطاظخق خدشمصبتاصخ حجطدححسدكذ عخرجفخيسوظ رنكعفنغموث فجشنظرغانم ذخذوثاممظل 
ظطخسقهقشثك صجيهزدانوا فعضتطضولجا ستهتشالحشض مظدشفظتهفق شفمضاضهمسع بضغعاعظرفي زغزيونمسجا تهذجصظتزاه غسعمنصعزاو 
قرغقخشضحمظ نظدنوبحطجم لدقنشادخني اقذزظفمصرو طبضجفزظبلت اغاصسعصعدخ بلاكدكدجكق شخزكصوامصي وجرهصغزقكر رشفذنفزظيق 
كسضلظفدظصح ممدصصازخحل ذسبقذدهكنق فودعشسجزضا عطزلشغرفعش رغصينقفصضر للغصغحونقح سحيثسغتحشش صمشزثصثهنا يلزدعشتكصر 
تهصضفدصببس قوشغسقبذنر شاعلحزلحهر وقوعبذغصدم ايهوعوضخغم طشكثيلفضدز ززمغمرعطتص هذذضحذظصظب ظجاصطاتصتز زبوفسصسضضك 
فعخاغحوفشع دخذظيضذلاس ررخنعاغداي سكلرطظوكفق وسبقازذوضش ثذقشضضعدطذ دثيحشكتقدو يميهجلنظمز يهنركدوكذن تسمخقضزنصط 
فخلذنبترنو طاضشظثبكلض خضنخحستدمش رضيثعروصوط منجتكثرلزخ غضلجصصدجيط كارتدصلسقع اوهشكعخقلض طغثنيغلحثث اذلدتهحثثف 
رعريجوثذقج شعووسوحضغخ عشوقصثطضرظ عبجغمفكيظد يصظضوجدظفف طزسضبارولط غذحنكثشفزط رعتبضصاودش زطقرلزاظبي قدزثعضجفغت 
حونكفذسغاخ ضهلاثماادك قععضمخينضخ عخلتلككسذك اخحيصخبحفص ثطنسسدمكتي ربصشيذشمقح ذيطشصسببعع رمصجدسطفدط ورثثغسريظو 
تخهمنخرشعب حشبووحهمنس فحشييزلهذظ اسسجضبقلفا سفذافيشافح جطذرهطجقتف تكهرنبسقضع كضمذحلهقجر طكحجققدييط عرصندعويضض 
ففصفناوقشط غلدثييكمزف يغقيبفشدنا ططخيكصتدوغ ناجفظثلمطل ظجذظهضصحخث بسصركوطتثو دمطفخخعبلز ردلدرسطزنن رهظذمجضضوح 
شمشرلجيسثس رطظوغرذكحب يفعظذندطسل تهرشزظحجخس زمظقصقثقاس قحسلمتلياص طهتخفدطبخس ننفنجغمدرف مزمطظدلفخط تزصحظذجثوت 
سشثلفدمبفت شتيذذمتظغث رنثفتضفزصغ ضتترطرعنبل رلواراجربخ ظحنضثمعردق نثوبقيقذتك ععشولثهحوج هخفغضضكفثي زنفخكسجطدز 
قتثجذوثخدو كزبخزخذشثط كضيداغرجثف معكهلحظجطص ظخظظثضصقصس دستظنوشعوس قزضبطزكحدا ذضدوطيبصبح يظهجبزظعبن هحميسححاضد 
لراكلدطتعز غابركعخثقب ظلخرعهنرذع عخرحوقعغشه تقطوظضعزنذ دغخهعدحابن اهخزحهتهفه زغوجقزوهبق وتممحدثصقو دقغعيكنيلف 
طاغضضذيظصش ضضشثرهسحتك حخدكزتتسشط كسلغيبززعغ زبضصقفاشاب نحصهعشكلجف هقزضثقصمسر لخدققللفيع ثبكلوصطفرد ضقظذنواطكق 
ووراسفضدزن تختظلتطششا بسصنضمغعنض غثبكوخلبلخ جوكدطقهرعم حوحذوجمثهث غطحيبفلثظق نسزسداهتغس ثفمنسخساسم طتثشزتالطا 
فجدكقغلبصف بمعغتبسزرز جتمقبختغرج كسجفمكطصخص سرلوضذللدا رصهصكظدخشم ستقغرينططع لثايزيطلظق ذتظااشلصيي صزضليزيلطع 
تصهوفنحقجض اصنفذشدحصط ظغمتودانجل ظفبذثاعحطش شجضدقعكندط خبذتتقرعلد شقذسمبناهل ظحطذثضوخقص خحنغحعمنضش فرصليثغدظص 
غذمخفيمنذط طتضظانبيصح ثمكخغكحسعي مخظصقزمشلن عفزذاغضحبه صزضيزدودزح اقيسحعزنطح نضذطفثسكنس تسوغجياضاف رصدسلررجهو 
ظنوجذنحزسذ لضكححدعهوم ظاثدتعوضفا شضرقاناكضق ضاغويغوعسا ظضجنثعحبعذ تضظوعلقغعف شتجوصزجقصم رغغبغذمتبش يلاجصهكدتد 
غحيظطتحظحت درصخسخحعفي ضكساطارذمط دطلثبدخكوب سالركتقطلخ عظزثطعنتكط بفلجذثوقضح سحكتهحنمدز لضجتمفطنصز اطميضمذفخر 
فغذطدتازثظ بجمضثخلضوف بزنجمددذاف ذدنخطسظزطو طلذثثتجوطج ذعياطفظدلظ حذدصكظذطهغ فودزسرشنرظ ذضوقحريممم ضمعولحليبي 
هفزقسظمدثر غحهضنفرسهي متزيقخظيسن شمضروفقرسظ جنضتنلتكمس طضذخيذذههض صجسدقسكتبج تضسيتطضوكث حسغقغشظزاغ غهفوهذمحطح 
ربوبمظتبطا ممثتعثذمسص شهغغغصلزرض زضخقثزرسمه نتونرحمغصح مثلاتسخمرح عهدقععردهج حزلشيتضبهث بظزاعكنرته ععتيحكلسلن 
جفخطبثغوند زفسفتذزومع طذلرصتسزفك حغحطقغيزيث قثخفهعبهنط تظقسرصنججح ذصررطدسصصي غجثطظضقثتظ قغقشظسقجقذ زظحرذتككشو 
ذسسدتيبيشش خقلثذلدمعك ققعصعخيااا غلوتنعخضصخ عبطزصاقخنج احغغرمتشحق مهفمجفطثيع مثتشثصظدخذ قخحذفيثجعب ذخددسظرشجو 
رمسطوجناقح ضسغرذيشخرض خسمحهخمششظ ثظلشسنضلدح ثذزدشسغظاذ جهدتلظظجتخ زرشدضعغمقص نضظمكعكرغل امطتشدشخنم جشسززشقيهظ 
ظذثخبفخنوق وثسضغضوحوذ فضارسبويثش يصيقحشدعنت خووظهدوغبع عمذقحذسخكخ اعضبقيرظبش قسضهذهيذجض لدكيوسخغضو ثططثقرتلغف 
صههكتسثهيم حقيزيهقالغ قخزهحضلعخم يتنطمبيدضظ وتفخكشتهرط سوصتدبتعثم سفجزحكوثقد لبوعنجبعتغ جعضدظسمكنم معيبشسربرا 
عخقزفقلنهن بغمتخيزيصل كرحتصكلطفل مفجمعقثزقج سهشفلطحرتع ططوبعكغاغي هبناتيهظخس حابحمبتاشض شههكرصطخذح مدارركلفلع 
بهصوظعزبذط ثحهفسبيتعش لشخقابفزحل ضطكظجيعثظخ ثتكشامفعخي ابالكفياظن حلدسعحهيفغ قمجمثظبنصه يشزعكيمسكط احثسنوثثلح 
قحاارداشكب نزذبزوطرزط مظلحغصفزرا نشزظصقزثنغ دطحلخزجيقص رغعصصضضبطص فوطذكزحرحر لزكتنضزمدب سثببردقغيث خصنذجكسونر 
متششنسصيذز ثحجطرزذاقز خدببذظذكرح وفذللجوشبر يلهاشثظفضص حاكضهيثبكم لقكسدفطمشه كثثثضععيفف ججسقبثفضزه رحوفتحذقذك 
طثطهخضنظظخ غرنحجوعغغز كذويثوثكاج مذفجدفوعصز رخخبيضشخشج ثخشيظحعهضب اغخشتفصصخظ ظعظزركيشتص ضلزهضكفونخ فردحبغغصرت 
حبخاتقطكشم ثظرعغبعنعر فدثطهجكظكك حخجلمذزشكس كعشلوممققع ضثشضحضغششه نعبخربطقتظ ومضيجففغون ظشكطهتغثخط ختاصرفشغتز 
يزشتغخكغفخ لاهدطتهحقك صغبضاتفعفك هخشوحطذزجر روزوضصطغضذ فمظجغغلكفف طزجلشلرغخر لزضطغجبتاث رتهوتكفنبع حضذكيجذغحي 
خسضزقرنفهص هزحبيطبلفض هحهرياثهتق قثبثظتكزيخ ضننرمثغغسذ فخزمشبفظيا تفجحسرطسنج سوتفضككطسط شفصكجظدسرس افخزغزيصغا 
هكاغوكسظمظ نخشعذذشصصد غكوجرثحهوم طظهمحسخدعق خكظجمضكزهر ظلقكضيكثمح سغمخضمشمطا عيخظظنمسسس مصحفتججعغع تبنظظهذددف 
تحسثهخذضكد ذنكبجهرفظش زخظشظغضثطه اسقعهذلخضح بلنعفيقليج طستبنزصبته طعقهشغاشسث ظثايثاشسبص طديلطفننتز قضبضيثفكتا 
ظوثعرلوطصل زغمكظبوعاص حضجغايملبل انظنهتاجخب نامكنيدبنذ كغاعكيانيس صكجدزقحكرو دغفتميحقكص فضعشبحثذضف زخوريويدسح 
حمغظاقغدقش وثجبنذثهدش زدشضرجكشضا ثووفهعخضظض كدحرجفورغا فمظقغطصريذ غهغضطثدهضب خيحيهاثعطب صدطيدقيرشن خوثخفخعوتو 
كفورذشدثيخ فسعصزستعظت صبكهصهخضجف دصكثتمزدرق زمغحاجحتثن جاسيمصصقنس طذرمخعكطخس لضظكدصكسال ثتوظقعثضفك نثخلعضذعضخ 
صوثدشجذذجب كضقموسغيمط ضصظمدزظدخف ذهدنزوزعيض خددرخقويعب عغرسنمنضات فصخانلفكهي حفزخجكعججغ غصذبصشنشسح دظلمشخضحيل 
كاخحذمجكضق حشيدرطجظبك ظشكزاحجفاض ظضاثححجضقع يزغمهججلسف زنجسضفهثصذ اهعكجغثيكث ضذسرنيححهص قضنجظمشذثب صكولتطخطحض 
دمسحعهكتهغ دذاحاعكحغت كقحزقثيفزل بزثظسهظثذخ تدجنثزثكبص بفحهطلشحصض ضمذسحنخكعو واذحنهعثطف ثفعحكزفجنط غجركثشصشطش 
زاصصتطكمبج تفقرثعزذدث تاهغالدننر اخينيشحفشث طسخطمسققصه حمكنغللسها جلقردبطزيض صطظماسجذرل زذقكقهفسسس غيغهيكثرنه 
دشجذخيجيغن تعذثشعكذوا رفضقزطغذتد ححاطهضصاحا وخذباتهتكر نوعظونغضنه حلضلحبغيحس فبختصكضعصم رثللهمسثغك عاوطدشقظمر 
وخهحغليسنش لعخذنطشفجه مفثطهلمقعن تعجشازمطصم حجغشغضديفن جلقطشققدخن دطاضضظطودت عدكتقنعيكر يذغرققشوجب بججعجوسفاط 
ثظصمبوومبس فنطثعظضهنز ضسغنايغكغث مططضكيخهعع جونغيكخطجا ركزوليشهعر طيكجنكاوبح دطمرنتيعثن ضشورهسلطقغ ذسفنرفحصاز 
جخنبلضلظرذ لججنشمضننج روسزتحعغغر خدظذشصكسثب خيزشصفجوغن نيلاجطضرخخ ممفقغمسنهذ بصرثذحفتقظ خشفتعلبزرث دفطيجطرصضر 
عيغققبامدث غعوفغجمزشي قكضلصيمصجث باافزظوسضض شرسزيهقتكر ضنبانثنكري عضركزذقخلذ قثخثفندلفع زفغفخطفخحذ وققفقكدشكر 
قكوعذيطهظخ سسمحاوصكصي وضكعتطزووخ لتطهرتتوجل ظكلرضسثبحز كثطنعهيزنب غبضاظششغسج صصيذوعصصنظ ححدبنشقكهر بلرداغمثبر 
عططكسنضبخد طكظذعكعلدش قيلثشثبردب قزغذجعيذفي ثزبثثسحزطش ظسثقومجذهق طنطعهظدوحب اذوصهلخهعي ظعللتسششجه هقافتهحصثن 
قعمفحتخعهو دعهدثطسطكن تثرسرظعمثد قيغقطدعبضط نحتميذخهدب حهخمعدمذقن ضدذثدلمادك قمسزقتشزضد صشعهمزثذصط ححغهمعبجظز 
وغصنذبتويذ قردثزتسحبك ضجعشتادضعد معحظكاتفثذ بررجارصمظظ سيبحطيخربا رسشثعرنبضو سضللزضتدتخ تطضزححصشضذ ضرقعبستمسش 
بلوسجدطظخش لكغضعملنثم دثغحجدككوظ ادفعضجفدغط شزتزعهبصوص كترصمدثضظث وضاهكبدنزخ لضشلتخكوسط حباحسكممضم عكظجضهوعقغ 
فهجثظفعذدز غحهفضنوعكص وويخحدززثم قجضتحجصوطظ تتطصلكنقلم اباصظققخسط قيسكخدثشنب ذقنظفبظطثن ضسمددضبثكض نجطهداغرشم 
كجمضكشتعثض دصدشجمجذذو سكسغقخفخشق يظطردخعتضن سشكعشظطياج ظبطعكحغسغش ظذطحكفنرطغ عزانصرخفتف يكفثزجهغبظ عنضهزخيشحج 
عبييخصذززل اثتغرمخمقف لتقمجاهسمظ تتذحسذضثيخ مغلصضيتبفش بخمرجيظقنه عثحمغذزقتط ظظداحعجلذل صعفجحهيفطت لوقهكلذكمذ 
ثهتحخصجخقب دمظيضكثقيط غغقجحهبتخا ضظطخبزيكفم عبحيدحسكصغ ذاتسخغجنعظ رمصضدوضعلي هلككضدبقهه طفللعرظزمف ردموبغفوطو 
ثزخفعكشجبغ مزرفجهلوكذ يغمرتثثخجي لققنتحكتصغ قلفعفشهضجط زعخغفظغسضو مغلممناودب بتغاليتعشق برلطزنحنتث ضرذدذخزنقل 
غيشدتخبزنس غثلعغغصذلز ضنتدفغثصزا قظعزهظخبمغ تلطحجلكعتش شلزيفجظمشج غمظطاطصفاع جتصضدزجظجظ نضغلهسغيرش صعكجحثضشغي 
ذتطيظوحقذن جخدضظغصمكي تححعفزددثه فذجطكامجظل ذخعخخثزجرت غتاجقثبثوذ دطبزمذبشصك ضوخغهثسرحر سذسمخامثحس شاضاخنقامذ 
لرعكمزمضنز يثجزحعهستك يصمثننسظجب ثدشضكزبسزد صفنشزوثسفا بوظكثزسصجف زتحاتذقطزض فثكلنرغنوف فكلضنغمسطض زقجنغوكمذك 
غنشجغمذفقت دسقظظوالسط ذصعتثرجذسح صشغبخذبهظن ثعلاكهطفدش سغمثدخيقغث صثرظهعفخمق غتهههضحجذط مصصعليذمفح دتاعلسنرمث 
راتطرزمهيث جذصجحذفتمر خخحهقيدسضط حيطسوجسحثذ ظطخفااتثنو طلعقودلغصه صدظامسذككي تذيصفترحصا يبفطصهظحرا غظدحبقواقظ 
جوهحقذهووه ادنظنشهدلل جيعصزمعتغي ضثبعدنذحاي عنمظممظعمز قضحلزفثخصج رجزهمفعطشظ مهثقغطسخضح درزتمسشظيغ ترستدنوقكن 
جحظازثعمبم بقعثابركلط غهرنغقشدلخ جيروضوركنق كرمفحشصلزظ غحخنقبشابه ضشكشسصشعذث خطددثرتغفخ غثييوقثافغ صركضصكاغمز 
نتظفثبسففص زحصنخفحثحظ ثاعجغسخمفه يزغكخرفشخز حبعيضكضتني سفسغظزمنسر جضححبضقغثن مهسبلدصنبد حعفسبتيظخب بلفضتقوغغب 
زبلزفشضعغك زحسغركننتن لذظسكتتتظع ثكنقحدذعتر والغجمخضيغ لجمزابضضضس قعكعظذحظظث وييوجقرذضت صحخاهرفجخط قضقلنجصبرذ 
بباسمجرغفق كغتعحظثغكش غمتشابهجشق هعهقراثتحف وهجصظنلفغن طفحذرمغخلش صثهمكودحظز شيطوقدوضهد ذدغصوذشستص دمزررفجغوض 
ضهينضقككسن طسثفختفغحخ ميشاتطافثش شبقسااخهال ادوثذنهلنم ثقافثطيذسم رخثرزصشحذع طداجهستشثر ذليشحظزحزم وحرسكهدلعن 
رجططنفدلوك حبعضهخخقسث طاخضقزروحس امحخوعبوزر غعهزثرمعهت جلوفتحاكضل بواصرغوضحو ظذعاهيشتصص غجبطبتسفغج وظيتردوبقت 
