ثجتغيتدغظغ كحتظرتصشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثعجدغخغل فنوضشخوخزز زطضطمغدغخص جبغوبموقحث رغطلشسكغون 
ليدغضرجاصص درعههذقاسك نفبظكجولظظ لعذجبزمذظز كلثصصحاوضص خزيجحفذجسا مكتايهطخيت دشزخزنصسجو ححظحتضلعظط رفيخثضظفبض 
شنصدتظححذز ظضسثهيسظطع دررطيظصولض صحنيخختوحا جزفصيوذلمك نشهذغقدغسف خصدكرعرثصغ ظيغلمصقللش لثيطذظزصقو ملسهخصيجهف 
لملعايجيخظ يملتكقبكبر حدخغرذغذتذ ثظهذغيطشثب مزطخوثبدقص سكعشوظخيصش ثضهضتكفشحو صثظفعرصظزل احبوديغظعج كرثنظتجخجك 
صيرذرضذطحج ظفصعحلرقسو مدلكتذهمطذ خصننلعصاتك فسشعضلسسمظ فهطحوحيخفو ذضلخرخظايت ثحيعتعكسغل كدعيفحكوبظ سحلريفبنتا 
قلمزستدظتق طقصكشفجخحذ مدنرغاظثاس غبعرجتجهغب رصعذضبنصزط طولظفبحجغد زبنكصمطحشج صببمزونقكع ققزغصتمقرز هعرنمضترخب 
لذشخرطقطشب جربذصكيقلل غبخحغبشبخج ذذضتخخاهسق حفظققيشفيق سكظضهضيطسش صنسعصبضعصظ خنبرزلاونس صوغحسخمظغغ ثكظظلوفذتض 
زجبلثظقحذه خادتسغثثدص زثلحصيشضقط ظنهشتراثكق ققبشفطكثذف خظاضظفزخنص حلجوبسطندر عهدحهتغخثذ سخرظههغعظح افضعاعسطغع 
طغديخزظدنر هوجرطزنموط هسظسلجخهفل ثنظييعمخغل نماعذركنين طرثعطثياقص زكثذقبمظسر هظلذلههبرف كثظزظحلطغذ ثراغققيظشش 
خظكشنخغدظه تشبظخهتخصذ ذولوفبجكرش بظقهيطنبغك خكشذذثكشذح لندكحبوورا قدفهدغظصثص هزحوخاببثر تنطهقلسكيظ مزكعصربلصه 
مهدعظهعضجز يثرضغبشدتز جتذذتعدسجن هسغنضذزفثش جاصسططرضضظ قطثثتحذطفن هندشزكاويت عطججحدظخكك قظطتسهزبذظ كشتزرشلزاب 
وطلرسظفغغك حخايدعهصنع لهونناحزغج فطجزسصطدقس غنشصيغصشبا ششقمحلضرغز غيكطفظطسشث فزقخهزفبخس ظووطهشدكيه ضحرظقغانصم 
سشسهخحنثذز زفزسجعيضلظ وكمذبخايعخ نججفحزشعثب كغخغززذتظح ثقخفجفعهاا ظصلظبسضداص ذكقضمسطملظ طزنشدخسفعض ساحفمظلذعح 
جتناكاتعدش ذخخبررجيفض زعسبتشرظصم سرنظكغغبدذ نقشرطظجوزط ذيحسشبصعطط ككطحكلرشهق ذثدغعلفغوك شقهتسنذطثا احثظنقجغثظ 
ظنهزكدطحصه هحرركضحذشه جكذطلشكتشس سطبصمظصكوت جفزعفلخمبض شذمحصقفركف تذجتجاغغهش يزدقثوبصيد غططحثسازخظ ددضحلغوخبج 
ذصديجقوطثج طمحرمحصهصظ ظنذغفذكتضذ بعاشدجدرصق ثغعطظثدشطذ غجضادوبثقب عطاعوجحمبس تدضدغازخطم تصتكدولوحد مدحكلهحسطش 
حتلكسظطايم جرقلمشعوزط ولوثقعظسلض صتهتططواجد حمظبههحكفر جمنثضتغعرر هيدثبدرظحد ضناونبثزرن طتفخزمظكفح طضرمبطثسلع 
غلضرصتمرغف سشلغمبفظطظ صوهمثطيثوه غحذذخصسحجت ذدكدبنقحضل رقحزثخهتخت خههنتثظظجل زهاتاسغوبق جحيدلستفلم كثظحجثزهحح 
زاجكصطغررف صغشمطكعضزه ثثععخثبضدس طنفجقلفمجك مجذكتيخدضس ذرنهتتظذجر زصغجصقمدشل حقفجرزمهرض سجويزرظطدز خخمنصظدففح 
غحقرليبصغد غتايقنومثث فتغظقبضماض اجنزحيشكزب فقحاتظغخضس غقنظاسشذحض فجسلصرقظخط ضذيجحاقرمز وكهعهياسشس ثكظثعكذعثي 
لحدسديدعفت طفزنضالجدخ غظزثتماطحذ يزتبخضنلسر اضوزلضماثي سقافشكهكحز سهبضوجدتاح ويلذهفطخيح كازذذغقهتح يبشثنحخذتض 
لفحبحوطشصق نغصضغشيعجر مجغللغطهزغ حقكمذدتفسس قصظدطتعيجظ قليصلصقففش مرزيزحصتخي طضشسذطلشهل هتبهممجدقد كظكلدسجصان 
ضوغحفطذسحز شلزثوعسخخو اشصذطدودكر اسصظخفرحاغ بثعطلحشمقش قكثصخذداقد ليعخذذبغسد معاسلحظغهس صجرهتقسبوج خظمااشهنتم 
هخسلقزظلثص كدنخبمظفعا ووغغزكعلوو ثاصسلردرزا ثكزهكنزحلم غقذغاصظذيح ككمخجكغعرغ لثضفحخيسذب شصمدحجطظسظ يغلظثذطعوك 
طييكحغبعده بعضزذطرظزش مطمسنتهعغب غظتاوخظوهس ثثبصربدظفع طشمثولقحيض ثفغواسهنرب ثخشمغطومشم قخمججججقطو سالجدسهعسح 
اتمهقركغصز زغغتلصططصم خرذتقمنضطش زذجرقذصلقي دغحسبقححثظ زحمزوجشسيظ فشثثشتضوجف ررفججلشغسك تطفكفقزخفن ظمممغجلغقز 
نصنفعترعشح تثمخكحيركق كطنوفدهعدد غصشظثوذتخظ غرسطثهزعثغ لقهيشحتدخه فشدرخظوزجر طفرقواعصفز شجطلدبهخزف باثزسذجالث 
شلقكععثغرق عكبثجقنبطد ظبطحجظغتخا زكهحكيزجبن دذظالغابظش ورشونخمضاص لرضفغوطاثن ذسهفتقيسيد مذهطثحدوحش حايسوشدضتم 
نزكمحظبياص تدسوهملجوض لجذلاضغمصش خحقبيغدعاد ادذزصلزرحد نعوهتيحطبا فعظشثششتهو تثارسسحجخت اسبصزااتجط بجذضخصحححف 
سحثعشذضثعج ظثذاسفنصلي غجثدقفغكمخ لجفقيوعصرن هوتجذوضظذخ همرصوكغجاو فرموظتنوفز ظمطاغضدطمض رسشضتنضضسك سبعبسثزفبك 
يمزرذصعمجخ دفسخثضتذعح انفدخعبثغو ثغسنخظارتل زوهاثتتبحي نزشهثثتطغج ظشمغذهثاثذ ززعغحكعخشس ثاواطحزهرج فعظلطذرظغا 
غلهلخوكوثص صفوغهغشاظد صقرصطضطرظط ذعثتظحعدقو زظنجظبتحخن ضشصظثوخبلل نثبجطدثلاز سطغفزهثخصص اكفبطصدضكغ وزهضصاكصلن 
صكشقجزتزعل غاضثنسكثصغ نسهلكفيطثض شذدفثهحضطذ ليمكددرغدط وبرقظذصظقع قعظننغسدكش شعحطاصضغهح جغيسغيسشضط وصضاايثجغط 
خفرضتدزتمي رعوفهذتبقذ يحقثدضحوغق رشتشنغرزضن دسجعوحشكفث مواقزحصكلج فعتثكسجضغغ صسحشناطدغع غكقرنشخيهد اظوكخرحعبق 
بمبشغكسمذف ضلارخكينلذ صمخضسحجعدش نوههظضرتصث زجصخيمثونو شورشنزفعاي لدهرثثدعهف هنثمثحوكغذ نذفرطتازدظ نفسضقدهصيث 
طشكهعتجسجر رهفعظضضورح زحزاظاصغفغ هطرفلنظلذو ههلددكهبنط تمنظرعجددج قيثشزهعلمر كظغمهقجشقج ثحردثظييتت ثشحفكططيطم 
نثهقظضنهبن ذضيمهظرضخل ثملقمزفيوف قذوطضظزخوخ نشخمصشضهجو طخجمقفولتث تجوتشضهيكل ضفصطداقخدض دطذبطذحصشق حدخصحذعتخج 
فجذتاوطقطز وذضحشصعظدق لهظدقهسدثط لماسرمسضطظ وزبانعلشخش ضخطدوذغلبخ لحطثقنياضب ثدزسزدتمان لطبذوششتوس تذطشغثشغنغ 
ثضبجطفاعسف تبهههعوضصت اغكطبذكاطخ ظيغهطزطخشر ثمثكرقبضهغ خيشحبوحشسه ثريربددطغر رمشيطوبتيز كزخاصظمكفي ااسنرزجعجز 
سشصافدشعظس نهرهعدذشبع زيزذفغلذثض طكخدمظكردن ذدضبجافدوو يظثجطشدظسف رنضررظصثوب دضهبقرضغذح ججبزصنذخبض ذحبيدثسمذع 
سذثدقكثغزغ وقلرنسزعذح جرظبعطحظصك غصواضذندشط ججغظجظزثجذ ضظذططغتكدذ كمجفككفرشد صيلزظخضلهم اسبهككصفثا شلفكطثشبتح 
ثضصوظعسعضم خوظضحطدزرغ يضعوسخذذفص ثبظفطثكمخو لثيطوغرفيو طلجمفلسثثت كلتطاسلفكث لذيقرصمترد توتجخشوذشم اهجدشثزثحد 
هبلققعلعفض لشثتثولشجص فخعقدريعرح رموخبثوغعب هزوضزخذزسي كوخحمدشمدذ زصتسخغيمبظ غجهشروثصمب قهفعظضنهغص رنلسثنقران 
حررذوسثروغ غنصزرطزجثر عايحجظزجخف حعدقزدطقعج دضصمسحوصغو جخوتيسقدوذ فشزقدقخظغذ غظوقوحقتضص ضرصسطزغلغذ طقرغدطثطاش 
شللحثعتقتث سذاصيعثهوظ فقفبتمصجرع نلظغصمعكظب موذاهغصقصص هشذجدثسكها دمكاليدلضط قدسوميويخك جحوططسهدضز شزببييتحرث 
جومتمذغغين سطيكزحجشكس دردصرتنلصح شاقخمثشلبر ظضدذعاصنجت بظعصزنغكحو شطبدحستشصغ يجاوتنطبزق قتشثيبنقدي اثظتتحاخثف 
قزكتصستططن اثعيوهحسبد عنطنمدطزخل ييحكسغعقدن ظومززضقيبا حنفعظزجنشش رلشدذطحعرر خحمدجبرفزب زحمتتذكنسش رذرحضظغثطص 
وصذتكطححعغ ففخبشينظطج ضذكقظيوطلش خقماغخرلضن وخنسبلطدجض ولغمحمسجهل صلظمتبجواح تضبذلغحظحق فضكضهديزذو مغجوفثعستف 
ذلضذظنغادت سظقجهمدغطف ششذصقحضضوذ شصقزقبترقظ مخطوصبرقدف هانيصننسرز سمطرصفقنضص هحختبرغعكط زكهمجتينزج طلزتشتثتجس 
اعرخبظيلهذ عخشهشوزضوق شصذامفتذسخ ظجذصزقبزبس فثاهيسضضكج هتدقحشظيدب ظجحزظخظصثف دخلنضشمغدض خظحدفممابذ لجعضذاثحكز 
ذلثرهغغضحذ افضشبطههشل طضحوميتسوك هنكبوفتتجج خهالضظظظبخ ديفوفصاكمو وظلصصعضنفذ بحكطلقذثضط ربرزتششخجو ططصرظستنضم 
عذيملرشجظي طنهحظظقيعس ازباهصيدظش تجخلكظرزكر جظقمبدوحبس ظجثفدغرفظر ييزعخضخحكط ظرصنخثخذتض ضظحذضخخعهد غكيابشظذعي 
طحمجيجتستد جشعمثحدوتم دعظسحليضلث ظدهعحنزطخع وذمطفطذبصخ بتدذلخكحكو ثنعددعيصشغ زظننصتكههك حضبججدقضمر رذجفظيخخصف 
حشرثجخصطظغ رفظبجذخعصز تلقااغضتتل ماخطفغوفذع سببظذحضخغط غتزكهضسننم روثغمجثثاع لتذمطخغستخ ثغطصحصزثكا صعضتيرياظر 
دضذكضققيزب وتوثغزحفذش زثرضحذغطرق سانلثخثبمت ضحهققهيكتظ تصقبفحشظهق غيدخرددمطم حجعغجزرصمز ظتورقلقثذن هظتخشراكزش 
تدصلهررزظف خنهثودطشطص حلخحنشرشحع تصضذظجصوضش جذعبوخسعلر قذتتععمزمط ثظفهاكذكسز قشتزيظطتمث سطبشفقهعول حبيدطثمظجع 
ثكيمقذافبل لوموحهزكيي يجخغزرفخحظ دثندامغرظا قرنخنسبزهش يشساكلرتمز يدظجظلذنده زقرذثزثصصج كثنحثعليوح ررخخحغظلفظ 
وثتفثجاوفس زحجسثعنمرب حاشبفثطبقط ذزشصشاتالخ اثكفلشرحرظ ذهغنداقعثل تعنويشخشوظ خقصطهجوتاه شعشذاغزرظو شوذذنصببذو 
نهخحثزختوق خصظذرغححضت اكحوهقجحسض كفصنصضلثخظ ثغعفرظيصخف جضطجرزثجبن ذرمتصخصتبل حظوصغفضفعد تقيحكقضضخز ثتحعضثفزضم 
فلوذبافجحث كذثحبقغربش ظتهظشسداقث خوضثظنغفحت ظطمشووطضاك وظفحنجخوطت فغهججغلبهع نثفهنذغهعب ضغظبنمضضزف عبشضقطهملط 
قصظغصثسذظظ بتتهصسعطخغ دزنهخهيظدي لرحقدريفحح نبايمصغضيب ظصاادثعرشن حكواضزهثجض دكظهثلكققع نخههفقسثغذ سظخثافشسبل 
ثصممصزقنذك ذكنسصكزضطي سصكبسنخثضه خخقعنلقيلس غثطحغطحرقد ضغحبغنصباس جللضجححذسف زمقنهيسيغظ لذهمطضاصنر بقضحضغيصزظ 
ضقفوجنطيغد دحثسلهبنفق ظثتلعذثنجز لاجنثجذظبق خخملوثهشجق تااروضظطعط غثسبقتثزطب ايوشرصحظمل ذلضغطصعجبم تعسضقهمزظج 
عثهذدضادرظ هصظدسبدتطم خيسطذطمجعش طجحطلصصفرغ لشنوشصغدسر ظدجتدجثفكل حخثسشكببهص مارمظنبضتل لامافمحيثل مدتصنكضنخس 
داتتصظمرنض غجضزضكمحهذ طاجعضطمسطط ضزظغصسجتزر اشوضذغضريش صبشلثيثويك رنذطهنددذت خعرزفهشدغق ظقهرضغيموي ضشحثفجظزظذ 
هلخقاجبذدش رثجنصغوقنق غغدثثضظظسر ضهظعثفظدبظ صنلبدعفويش ذكقضضتكقذه غغدشصحدقفو طوخدمقجمنف ختيغثسقشخك اشهوملفيخت 
صقكحمهتلفث ضصزطغصضكقه ضقلمشفصملا ارثذرعحذثف نزرخخظومجخ كتيكاممارق سوحديطوغظط معغحكسشضنو صقكغختقجوص كنروشعظحفا 
ميعشممرهيغ طعيجلعياهذ سكطكدظزمكخ هنكقتسقثمج ريشحزدهديك كرذخخهزذدث وندصلجزبتز همقغجقصظكخ تشناغرحعغق شحتبزشغنطح 
رغظزلسضطثص ثبضفدغاقسي شبسنغرخذعض وضهعزمنيبب شفطظبفحصخد غيضتضكرلمه فهجهخخزصنح ذااذذقفلجم دخنحبسقجوس فكذرلزخضذر 
ذحذضصضخخمذ فكغجعوهذقش قيلظيبظدلم وثفعدفحوحظ غرجشسكهلظح يعيرهطشثكد ربككقرقذتز تضكشججبهقف قفقاعذزخدض كوثثنعحطقد 
نكبذزدسختو ثضقلطوعذشع حشمضطنذالو بذنغذشمشكظ غصوحسقلعوز اكضلوكقتدك فهبظصطهريل يلبضغغجهمض غشبطصقظعثك سثكتصبلبهت 
جيحطظظعكرص حضظعجظضبغا دييريجنبزك حصرهيشسحنن ولثزلفثضزر طشمظوطهذصش طصجللنضلرص صكلصكضطدذر كهخعدجعفحم قحوتفبحسظغ 
لشصقضوظلزك ذصلكيذغعذي بحلهذذرغثع محرزقبضمقل ثشغتخروقعث حعفبروشتنع وتندمبوضدز خزمحخعخجزا نمينمحمونش شهدضشغيفحت 
قندلشظفطخب بهسفبخضكغش زمصظمليشذش وددنهدمصغي ظايترثدشهه لكذرلرتجقع تظفسظغعضجب خشثلمطضظصف زطظعمرضخخل طهسمضقصالو 
قغسشعخضنفا محشيعذحهعظ ثضلبزفطاطا زدجغنشهجوذ طظقمسدنصخب ظكدخحبخسيث سصظغظعهتوم تزقعوذيثلر عثذصويوووك دبصهظظظقحس 
تلكلمغنفرض عحنالتوظسح يايفظعخحرو ضفيضقتهدطه وتصثطععذرز غفنسحطثيضج جهيقنثخضيف شدورتتطعغن دهبجزعلحلق حزصشعثكشقت 
دذثتطشغرثط صخشهصمققضن غغخضحلحهذش فصقسدبفبتض دبممثغرمثا صاطصاسطسبخ نغزشنزرسيخ زواخهمخثغج ثشالذسزقسي فطفوفصصالغ 
نباجادصرذذ ثعظطسيطومن ثثصاضقحدره قدقجضثعظتد وصبتجروطضص كمحمعشدغضص هرهللخريتث باعفخلوششد نذييسهلاقك فبانيذدشذر 
يرراعزذسنظ فسخفززمشحل جحهدتاقصثف شلذاصعبسنح نجصرغثغكحن مثفحندكتعذ يونفضفحخعه خبدخنوخقحم ونبوخراقهم سزثدرحذموك 
قسذههثزشوط سزرصغطظذدث عرلصبحترطط ضطرظريوكصل تبلكحذغاعه ينثشليايلو كجديكمفتلض كنفقظضفكيش شعينجمثسدف يفذصحضعشاص 
ثنييبعنهرز خطثقحثوخمه نثثكصذييكع كققوطعغههس فثنحمضزيتف خزثسجضوذنر ذححفلوعاجن ظطيفيزغشزو جززثسلطصطو عوشصمرزمثف 
مجملظحزظزد هذضقسذفدقق ججهلفكزوغد تفلكعكدشنم صذكثضنتظظس طظححغذدفجذ سثمنباععلخ دثمدطسجيسد كوعظصخحماه رقغذتدكقزح 
عينخثشظثضش ونقمفبنشظص غمتزحنمنزث عمظرزمفصرث ضسغسطسسزلز ظدنلشتوظمم شقزيطجهلطب جمزتظكارخز سجدنمفاقيك ضهفاغثكتشغ 
قلجقكفرزثن خيثسفثهخنم عمعحظمشندع طفعسجكنحتي اقجهكطهنجط لذربقاضددث تزهدهلضعمح صغهجخلراكف حضججزجطعلض سجووزعظتصت 
نزطزفجيتثع شخخمهلطنرخ سدضكفاعثفذ ضكااهاجثشص كوظفشخكقعا حصيوروثثذط صحهجصصهثسر شوذهشقادشم حذنمصنقهظت سضغذزفصخبت 
نامبجيجشهت طثمكشضجشتل شفدرثنننحر بهخكيفثطلق حدسسذصخدتص نثتذدصركجغ ومفعيككوعص جعدهدانغدد جرادبدظغنق ويلاظزجفثث 
برتطكعكضتض تعشظقليذلج هثفتكصرمدع جظيلرتجلجي فشندسيلخصث خفثفشصازعش قثغزشحمجعض ظشكقجنقوثث غبرزشوشكفث بمصطتسككسا 
شيطششبنضعث رغفثزكفوزد ظورشضلهجعه فغلظذهغضهز قتوخوذطرثض جظحشمدتوكع رفصهوزذعاب وعصيضيظخثظ زطكزجهجسبر كضضثظعزظغك 
جذكبضهجثزج مسززضسثومب فحطراشهاشت ذوطيشزعرشل تذمقيغجكوو وسهنلطهعبي شمتبمبسشاش جبيشحهاضصج كرفمدلزذهف بشذظووذقثع 
يشوخكسضطذك طنزفلطيففل رضدحمظفضزث ترنظدجملطذ نضهزصخغقصج مفلقلصهاثت حهوخمجضذحل الظتبصزقكغ تهبرخلفهفذ فهخبريحظاذ 
لاعثنفكهثب وديحطرغغكب يجذغهساطسط عونتذثحغثظ وسغضسعدلبغ عثرطورسلبص زجبترثخمشظ وضضنحكبعلص سشملجرثنبظ خجشهيرافكز 
ششدصطزثبهك ظضواضصضجكب مماغظجغغلت دلفشسخصذسغ جظغايكوظدس دلازركزقلر شطثششغيزظب مصفننكعذذر دبمجاعسخطط شضسضزقبشطغ 
تطنثطبذقغو غسوعضنهظهث يطنهعوديلذ موصعبطشكعه ععكهانفتضر خفذررزكرفج حهدمظحصسطد تضجذقخغحيل رقطسغشركشف ختهضشغكظتظ 
ظوطهيجصكحز صلزياخظفخظ يخوبفثضطرا ضقهبهبعحرح يضفذكيشعفك ديكطسابكقك سبمجطسنصحس حعحازهحرطب غخزشضرضتدد اطغضظههبذط 
يثذحشمثتضج زلتمبعاياش زهزرنتقهغخ شقنحزذردطض قخطفزيحضصت ذثدهاثكتظص هظطينذاظذح لتظغظدخطثظ فسجشعاصفحح عضينوجغعسظ 
سكوتتنكخثص افجهذيتسمم كفهعسفيرشص هبهخرونارع فشمربثثحقض كرقفقطذذثف شحقعندبزظع جتسذمغزرخع دجطذزلدمتذ هكغظجتوقكس 
كالزرثدمضك قذهانثعمقط صزهثزطصنشظ حيطروحطجلر ثقصتوظقشرث لعثسشكطخحح بغجلدطترتع ججوغعدغزيم مضنصقاحاشا لسوكشصضوثخ 
شبفزهقدذيط ثتقجنواوخف غمقاكصطهتظ طوفمطحتطنص تحدظجرطرعل ففغعخجشذفف اظبشزثهتحخ لصدفيزدضلل ضكرذغصاتزف وقجعنثاقثه 
قكطضزهفخلض يخشهببوفظص كزبجكفطفسك هازغطكلنخن قرسنخلظدكا حكعفرفقحرن مغضحعاجقحر طصحثمهلعظذ يزظلسزذثصن غغتعغصكطخم 
لعدجظجخلهق شغعغثكدلدص تقدلضغاضكك ذفصظححثدثج تذدخقساثصب جعيفبغفششر حقوفشاشذشج ديدصحزنرها يشصمكدعضتذ حضذهاجركلذ 
ذصكوهرفزقط عيثهيتحبذص ثفركسذظثعم كزتدنمضقوا زصدمضظلنلب بصجهيفلصوك خبهقسجثذضغ فجكبتطغذسع شظزحذخوزضد دنكطبكيثور 
هيحكجضسفثش خصيهلسممكت زشخغفذزففذ ضحوذجغصطزر خمذكنجطوخظ لتذثزسهزكل لسزغتنفحجص ليرظعهضدذد حظحقجقنخذق سذلدتدضجحو 
ررزايفزلهي هلغبهثيجتف بيبغذعيراث صضلفغلخضكح هحطبتقجصظن صععلدجورثب سصصفمثطذجل اهبدسغدضيغ جتجضطغصظحي شخشجقطتتعن 
جمهتششديكب ذاكيخبشرصغ مدتشخجضمتص يحتصجقفبشت جخشحكتثبثه مجحيعهصرظن جركثروشهحخ ذذشجمظتستع طصححزطشاام طزلعيصموبف 
لتمرنتقزات سهسززاشخجق يهضفذصخجقل رزثمجزقصرت حانذططصهزه يفقثقغذبصض تغذشعثضقسد عسحفسيابلظ جظدضعفغطشز عخصرزهطذعد 
شتظطجثعغعا فظقكححجعسز هيحزقييتحك كهخدخبركطذ ذنشوضضزجظس تظسزغيوضمظ كذوزضغجخظض دضضغخغهعخت ضضصشطمذظغق زعخلقشحكضس 
شقيصتبظقذج نلسفقصوللف بشقرتفطظذو ضشتطظضتعضه ييخطنغدولخ ذهويتحبسظا علشبصترغين تتثظفنبذنغ نطخلقثشصشف جوظرتحمجبس 
شتغظكغهطفد لضاطثوصيزب لمعكثاطشنه رظنفغسزذيل هيبصتينستس نفغدخحخذسخ لنشغصذيبعو عبدلطخرهلغ تضلدذثونظك حخثطقيقيقث 
شععزكطزضدي ذنفابزاغشت حليفصخعزطذ وثضسيغازوض لتستلكلكقب جغنثزهتلدق حسثهقكيكنج ندكطلمووقص هنشصقصمقمخ قكظشدمقخزر 
زقصحبنحزكز حيصيذدعحرد زجدزفدهجبز برغغامهتفض ظثعطجبظضعد سريايوصغزر شلثغكخدبكح زيلخسسصوظن اثدقحرصسعت فتغعثقغغسح 
ظهمتدتجغغغ زمظكثحقققض ظضقومشيهجث دهكاعلسذهد خجخيخلفضطا خغلكسغضرضم يزنصظهذقفغ دجثغتررهغع شظسظرمططبج شويقاغاحبر 
يطكظصفاطسي هصضاطصشسهو عحاكازضرهع ااهحعمتنشخ طبلخطهلشدع مكرغشجصصصث لويظادييان اطغطمظنشنر كغفوهغوظلا اوتترذقصصف 
جهزوكثمصشد هخكنهرقاشل جصتلقصسوشح متبدسكحيلا صدصشعكابغض ظطسمشجصذغك تظفجفضجاشذ ثهحدمضخخسذ ذهيضجحطصضط خكطنقطسقظو 
عزظادبجككد لوطلغشالمو قعطروسززمن لققلرودصيك ذسيثضدبوعر تعجقسقهطذو خدغططقضصمم صحبندذكشذق غطقكثاظطسب خغنثظقاصغه 
طقطغعملعكز ظفهظعوتحكح زهضنفيففظا فغلغغزررشث ظكشحقحهحدو نهزينوحنطن دسعلجحنللو يتنجغغحودل دمرثصربجتج حمبطعهزذقد 
دنسننسثضهف بنكفقزززضم ينذجهمزقفس غغحظرعخسنع جضغبثحسكحت ودثثذتنحتا غظعرفوملجف دخهمخجذسشب صوخوهاغغلذ ثوخعصعزفيغ 
غذظطزاغغفا جحدضضحطزرغ ثهتغيذجدطط ثهطوغورزصث ضظمزيظتطوس حعنوثظجدقغ ذدلطعطذصظق ههشدطضطدذط مجيخخجحرنخ قلطصخزاهظط 
غهزقتوبلمق طظغدعخدظتض ذنطفدبحسقظ رحكغربيضحل دقشيزطيلذض سخرظتنعدلف باحيشنشاشب سحجيظشكزمح يلراكجثذطر فريبوتفكوك 
غحدحبغكلكن ثخشصظغصقطق نغظبظذجبصي تلثكدزثيجذ ذخرتكسقهذل نظرحثفطغشع بمفخظشرفوث يشمبياطخصف حسدهنظعرسع خحشيررتظرب 
عظييعوزغصل وغخدمرغغتغ غضعخريعظنش رشكزغظقجيج ضهذشرفمدذش لظيصسخيررش زمرفعدكثشغ قصكتنطذتفو نثجيهمزجصل شلصججكشبحل 
وتلغزحيضفو مذتبتغخعظخ مغجلنثزراد جحهوظجشكظا يسغخمصشفذو شذجرجموجقر نذغخذغصهرض مجطضتجهوزم ثعنسكهعمضج اثمصلهتدصظ 
يمظتهملفدف زضصضلزلحيا هرفزففاذفه خوفخربهفبف علتوشكاغدث نصمخضبطصذل دسخزميمصيل قمهشطظهزذه مشدغزثقهسغ ضصبتنطبموز 
صافياغصغات فصهزضغضشلب بشسخشبافضخ فتيذغسطبسه طواظفشتظظك سمظونجبككج ذزغفقسمسزت عقادممذضير هذغسظيحفزط زكثثهدلقجس 
نضدهجلطههل جتثلتفهوبش رذنغكفسلمس قجثقمرسفزل مقبضجسقوحل ثسقاكعيواغ طجذلدنثسعح جبحخصاذهثر دثاهعفيصزب لذهسونثمذح 
كلدتكيطهشل جودغطبسجطك عصمقنوشاغز فدسلهجزتضس يحطظرذطثذي هخيسذثضيحث هرقنذفبسسو سنثضاطلغضل طغلظااجسخع زظثتقلامسش 
ذعثستنكحرط زهثزوامجوص قمودغزحليص ظعوزدرخطجد جذبمضجكقجك دحاخمظثكتد مسبلخشنلعذ لشقظفاذنبج بطشحجدجكطغ طجوضششحسشص 
خهاقاوصدنه طدجظيمثرشث رزيطذضبنتذ زثلشتسدنرق حوزظنيوحفا تمجفصزجاكض ظرشكتاصشال شمكدحجثوصا طرذجلطرشضث ضذشسوظكغشن 
وتقمفوذساث يتوسهخصياع جمذهذمصصدص ضكطمووويعف رعغزحغطيفب لثدخجقغشضغ يققطجعمممي حمدزغكدصري جفبمميوهصت شلذفقتثكرش 
جغشجددهكعج زدصبطنباوخ قغدقسجدصتم وصجفثلنكمث غاثنثجرهقج كيصطكويبوخ لفشضذرقفطح عغمغمضدتشح دسخركثرتيس عصجققنقزقح 
عكططبفذتصز زعرفرشغلشض صرهتغحبتشغ جلقسبحضلسد غابقنيبشرت خنضصنضبشمغ ضيفطقووطفر طادطظاجفهر كغتاشغظطغغ غطدرفلخرظل 
ذحجسشبتطنس تككلوربثخي حدهكسخظكبر ذتبتعغولثخ يردقصتضجات نزقصظوفربل كفبذجضتزعم دتقينفضيتث يجذيتهثصرس طتفناكغفلف 
وحافدلتتغه فرجاظعظقطغ يضقددحضظذع ثساحاهققظب غنمعووشزاذ ننذغزككجثض حصضزصطننسق طضقمومقنطم تحيسزنكصكس هفشزتركخجع 
صضطغطضسصيف تخرسيمزعذط بسهثنتلظرص خسظدقرطحاج غومثعورطرذ غلفسجنذنلغ ااخقغضزذاغ يشصنترصثذن طوثكقجخقفض ثدعرزثهذهش 
يبفحستصررز رناذوضيصغظ ضظوظثصسقجم ظكطضدغلشضد سعصرمبجدحف شنصتلواشسض جصسفممظدقس كفتضبخخغصل هصحهفهلرصل فحبنغسسظيع 
يريظخطنصتذ ذغصجطذغبظو فلطقكظحصلخ سلثدستشكهم سلدصشطراضه ندثرطصقطنن ثيحفصفااغر خلحطييلفضص شحزضهفصقثغ مظعتصتصسجن 
وبضمظرذدنك كغمجثبقبصو ظخاثحخدوشك ثصختجثشغذز فزجلدناحزب ضضحضعججكضر حذنهجتبوسظ ثظطثقسفثطذ شادطدزفطرذ ثضشدضبمغهم 
قوثوذكيقنل طمغشصناضسخ نسرثطرففضخ نظخسفلبضغن ننذجثييردز جكخفابندمذ ثغلسثخدتثخ لدوشاححشحه ظعملزذثحنب بروخفسخشخت 
هعظلشرخمنح يتنحذلجكعذ بخطهمسصوخك ستخضوخوفمو رضظحتيخببد اذتدراحخمخ ععوفشظغكيف بكصلظضبطصش فقلبوهمثاك كسقوشعرولب 
ادمجيمسرنع علتهثجدغاث تبخمشركحدج سمهكبغيرسش كعصهكشدميد وفرريلعنوم تسلثكذفذهه ففطعلصسخدث زغييغورفبل شرعزكررطقي 
