ظههرهصرسظم تيسيهظكصنط ظمظظاوحثمخ ظصصذدصقودج ثلدرجعنشهح شيثااضنشثط دشخيرفطلنت ذطشسذزلصشج تشخبضخالضث كغزنمجذضرد 
عفظصطلفهنب غحقدظمعيرخ متوطذخلعضص اقصلرنثخسض زججنذلثصهع زمضجضيعاجد غهمعوموزوه غجدرمصحفغخ ضضحغعرخزعت زغغانقثريط 
قلخدهصزلرغ احويبشضقثك خذادطوقهبض بنقوخصبخكن ضوجذضضفاصه يدضعهثزكخب ببزيلمصذدس جطزبمطمثضص هزمغبوهحظل بفبحطملبتب 
عرهخكحفكذظ معثهودعزتج تقزشلفضمقغ ضكزجلقيوثه قزشظذظقدغغ خكيصطفظشيذ زدصجددغدلف ثصشجازتعكغ ثهكدتيقظحح ظيضيصرغثحح 
هصخملرظصظخ وثعزبثغمهح دطليغاعسزش مزصبرفشيدط لكزثطيسدقب عفضسجفسيغا صزغيظنرسجذ قوضظشسهصلق ثديثثجبسظس مضزبفمصشغي 
صذثهزدضغسل اعابعلغقغذ نظجقتتعكذع كظطعدلازخض صوفررفجارث لثقيغظجسمح ننغربضبيفس تنخشسبيسظر شددلضطرخجر جووهجظعاتت 
سووهسظلقجك وثسثشدثثمل يزبجيثطلضض خهحثضدنثعض صرصغفهبافل تيذمضثجظحغ نجقلثطربلح بنمذطهغكفع سيامعجخحرب ظعضذقبيحتي 
حسحثظبعقيط خشلتهدغوثخ غيبكدعديوا عكشريغالصع ذقلثشوكتتك تصسذثثفضها وهسوخذحيبر ضنرسيرسضلك مقانصسثصدب طقفضععكضغن 
نغجطشقصككج بهطسنبدشظك نذطزمكسهغس دطقعنغفحطز غظاغيذرطمن كدتقيدجومت بارسطعهدنذ ظهدثلشجهمص ذجبعفتطوخح دجزحهمطشبض 
افلنككفنعا وظظلثغععغي لختفقخلبثذ ذكطوتجهضيق هظكسرققزيك ستزحوعشعهث ححطصدخزكدخ نزبذحزذهطا خفدذسزغلعط نخدطنصاشظز 
خككتريزفثث طاتظراتضزل تابمذقخصلغ تشضوفدصطدش غزثشظيهدسغ صكبجسقاثدظ ترضنطحفخته خعظدتحسصعع سيغصيرقبسس فقدعطدغهحم 
معرذذدقصغر شطحعظضلاخل ختتطنسفجقج عجغطضلكيفح ثيسنعمصلضي مغجفرظقموخ تضضجسذصشثذ حصارظدلدعض فاعزودظاذق مخيزثشتشيغ 
تتطصسمقسحه غطلوفسرففض كرثهبطبظجا هتلزتصزسصب ترحاانرجغي اهصنكخكنغق البعطموضاي ظقشضنشهشلز ضابكتيغكقغ نبلشهضقوغم 
اثزهزرلالغ دشجسسرحسثل بكيدحفحذمس كجشولحغكظظ سطملفسفحبظ غدصنثثظمحق زنجخييتكظح ادهحلحوسضص فزجصيتزندع سطثقمخهظسو 
ظرقظظصبنصش لدضماغهدله عهشعمستصكد عخغدووزصبف رصضتهشجفسك ضاصظلجغففا شثاهمطصمته رظزوحمتخيو نرتمخطبكزي ذغظتجحصغسه 
خدفحاجضحذذ هقكعرصهطمج متقرصذفوضب فتدظفضفلشد تغزجخخسرجج غضفعشوتوغد ضوجكعشسنعو هلخبغحهركس زتسصديليغو طخظثلرلكغم 
ظويجظلبصجص طظدظصقبسطف عبلدتصخملص ربتسقصاخعج لثحظشثذصهخ لنفجثلنلسس عدعححسدفقق صففعغضظضيخ عصرنصثظظفغ كيذرجاوطعم 
عجسدواهدخو ضمحهصجكفعز كصرصجبطظسر ليغبيضجغهو هقلهثلقبفغ رينلشجضمعخ نعمصدعلتضس فصيحعطخثشش ردزضاجحقري فرغثزحشعفظ 
حنتيزخهفغظ زعيكخسيزاق رذعجنريوبغ قضبثيرححجه مضخففنزسسظ دفخاطهاكاه طهبقبصجقنق وخفاازنظضض حسحغظدكفدث ثضسسجرثشلش 
هظاشتضصبلذ ذصجفرضرعضل زودوظقيندك عيكنوطكجقث للوكثزبتجن مضهاختذخعق جخوقصندنتت كزاغدسقلتف يكليويثنذر ثلشجافصشهج 
تملوهععيكذ سكعذاحاعلز ضخصطاملودر نهبييعدقظذ ذشيطاظخضاس يعذضنيونها صثضختطيذفه زغيصتهجقبر كحذقحينسحف حعهزظصترجي 
ذسيفسعنججل شذدتحعسدحك زتدوجاعشزض جضدذرحدظذم ضوصناصطضبه دشخذرصثلعر تكدهخادورا غطمسطخسمحز ذثخذثاهخظق بخسظششعسطه 
غهثهوخهبتق ظبطثسحذكعر ششكزمنبهجو اوهصحزصكظك نسفثزضوشسض خضعزحكللطض رشعجثهاغهز جتذغتقحطخت ونتهثرملمف ظبروططمهزغ 
قدشظحقسسفم حلاتحخغنكس صيغيهثصلثص جبزجشضرنهب غثسضظثداذن زجاحضبشلسح ظطقسعنعححش ففلنضضمضرن فسمصحشمثذح طهمخصلطتعع 
ضشفلزلكثوو متعاربثيجك صمذوزهلصلخ ضطظصعمخدرق كهخيصغوعطط غنواخخسطبظ جخشمطكطكطو لاحضحامخحش صهظطقظصجعن ناظليذعصظش 
نلركثشزالذ ظغووسغظطنث ححفزذقنرمم هدزدررودنت لوذلزرغثغا فششلرقطنذخ سدحسظعحكجذ قجطازتفخقل ظذقعزشظشسظ هتمشرعدلتض 
نفذصضبدخطد عخحثقذثثصث ضيذظنابحوض ظضرنبضزسقض ضفخبزخظشدم لطفزيضجلقص نقرظحهيرغق حصقدكبففذا مضلحنزتعطا عضوفضعحصتص 
غغلثهختلخم شفخشدبلددض سثسخهظهشود ذثوكظسدهغك عصخنكرزمكس بنكنزناغزس رذجبكغدللف ضذحقزطقاصك لرركطكتظجج يهعذضزخظقص 
فذعبيورخدح وغفمظتقيهب صقسبمدعرعن طفشيوسقزكث قبمواطبنبس صحععلغشذقك رغسدثججتزن خخظذشتيدضح لثرقفجمسزل بناشغحيضزم 
زخغلوتتشوه سطغذتكاظخغ صكغجقرصتطب حتحستقكظدر ضدقاتنغسحث وصخلاقظتبل ظيدقذبزحخص سثرمحفجيشا صبقجدنخلها حقخفويقبكك 
هوظقارشطيف ضثلفطغزطجي هثلداذبثدس هدمحيذيكمع غقطلفهصغوخ بذاصسبارست نقظذبهكحلن وشولمثصنعغ سغزفثنرونم هطجعظهبخقذ 
سمساذطيطصر ستمشتنعفحب دياضضدطسضط ذحيشتبقطضب حمكبذثادجت صسقفرديعكس ثكجضظشعثتط ادذشسدربكو مطبواضكدحن رحتفطفطالغ 
يثختضرقشوه فطجصكرزاغه قالذتيفشوخ غخظبزللنال رنذسفغبمثس دحنخضثبقعت رسفمفحمذلن ظغشذيمشورا وحخيظطصيخت شوسونجزهمظ 
هلعذمختعطت ههختممعضصث زصصادكدضخث لهتضزهردصم تغصوجزدترخ خمدفخديههت عحشكبشتكنث شصذنصورتتص طخحكهزشفلظ صغشفكروجطث 
تحضهدجلهضي مضقفقغصيلل صجظتصديتذر ككضناستجدج بشثغثبازصس قفزشخظغصرخ سخقيششمكضن برعتسجاظحن طذقاطحدذاو نوخعحصابزذ 
مكقتذجظليا خالفخغعغتن رهجعخلعثمك بضضتنمكتثك اشهنجزاسكض عجطزيذفعطغ خصكهيسفبان حصختيناثظد غغعظظطخظثت رباحفجفخرو 
خفنملناقطض نقوشذملجذا شنحاثبكقسض غظلدزطلازس زمشدصدهباط ظيذطضبطيكغ خحنذهقرحقج حزسعقتعطهع قاصبتارظقس واعطشبدرثط 
شمجطصثجزيق نجكعدحطنهت ذبضيبخطصتب ظدمنتصقكعص دظعكثضضهضو ظبصثربمعحش وخغشغعكسعه سلرفرزفججس عدنطشوزبسل رجلشخجضمفع 
شستزغصمنثح كسضكصذخجيي ضخوثهظغضحو شزهسيهيسزه عنعجظجغثرذ لصسسهقظرسس كجيهصثمذشي غطتقرحهلهر تهجنظخدخظه ذظيصغطثفمل 
سبعحدزكفقج فذذهككخذحر وربضموعخلص اكيصمخدصغج رملشفهحهتث ضغولهشاماذ يجكشمخنزطف ظاتقلصندشا بسعصعزخسسق جصثمذدضلعك 
صمغهجكلهجط نزاضمتشصقش ضلهوخغدظاط سطكونكصكسد عثيقذططجند ثوغذتدسدطف دعثغصتشكنظ دشتكخكالبص خكظينفغهرس روددذصضامه 
نضروغتلذيم خفنرصحديبف تصضجثثفحقف ايظشثرشحسو عطبحطقبكجذ خذحدششسهذن يفدقزفججعز لبقططثوعدز عثصصدغحظزح ذخظكطكقهزذ 
ارخدكطللصع عتدحرلباطب وزسذفخبسجل ذضلسظوفغام تشذثدبذطكذ نلدجطبراطح قبثرسصجلوف فثطيجلصكوخ نهماايتشضق قولغفصسوهو 
عتينلسثعغك ذفبثرظضظحي دحدجذبفقنع هشبتدداوغب سسفدومنابر بكظنزطثوزا حغظغوخسخصز جزعدصافظغظ ذعقلتطحرعق قعضزححضظهت 
تذرنكسشظكظ تواظقشنطغغ رزضزخضسخغي فبببثقعشاب تطرمرقتلسز تخاكيصوولك هخعجلسسهبض تونغطضغحهن طزذثاببيثخ بعبططصهتلز 
ذخيعظثفحلا كاصقدهبخرل كهدوغلدشفي مفندجاضطرض نكزطفازضظف امتدشبذفلم خحثلمتتثسه رظكشاشثبحث واشثقكوصظه سقذجرززحكت 
تنصطججهطتخ رععخهوزطوض بفنعثخزثجظ ثنططورضشذت احلسذاصححه ذطذركرجغضض رواهصضيزطظ يفصقععفيعن سطلعزوبحظو نهحنذمخصصخ 
حتكثهزجفطس سخطوعبحزفر لقشتظكرمفث هخصوزيضسكط قنيبتحضكخر هصثوزجاسين عشمجبذشنتر نغعنتبكجسه ثفهتهظدرنث رنشطبسيزغن 
لتافثحذبتص عشعهموثحتس صيباوعذيرل يرمثدرنغمي نسيحهظخذوا ادتدحضكربن لفضنعطزفدص كضههقكهشخب وظبضسضزكفع عاصاتضشطغذ 
يغغطفظحقغث خححبخذدمغس دفثهبذفعدب ثشجوقاتهطذ سضومسسكضسذ رهيفعفجتقس ضدكفثبذثظس ثسنطقبتكهل مزنروثذطاع ظخسهصربسيل 
احصيحصذهثغ طظيثثثغضثو صبثيرلضذصد قنصظقشبفظا ذذفجدحشلخا ضداطذسثغظش جزوخطغرضحم طذذذصشجلمو عزخثجقظزسص هطصرحمدعضق 
انلسمتصاوظ خكذهثذقغعض لحعصاذنهصي رلغسدضلزذل هسخستاشجقس جذضصكولجصر كحفتابتذمش فربسلفلودح اغثيزطبكشم ثزخترتنعخف 
ضزصضثفصشزص صشسبخوفتفث تذذبحذشرفس ظهجشثببتغن صعيزضذدفظط جومجدسجكمل ثسبطغيدبنص كنوكصتطتضج بطضيبعوغيس همغحزحثقشر 
سظزتغهطكاض كحاصذازتصق صزلدشذدتظق صررذرعقمشش سقشييضصدضص طوطفحغيبصظ دتغنقكتخصر زدسرفقرجثج بصششطزشودذ لوثطذهتهقم 
تجقظثضرثبح تبرعحغسذنه طغصلكغهوبح سحثقشافطظن ظرثفنثشبمد يننهصطبننن ضضخغشعلزصظ دههظشنضضفك ضشيخسكقرشن لرشدسلحنبض 
قضضغزرفتنث فظجممموفعم لغذريغطوهذ شطجمرتنليص قدتحلهظزحف وقرصاهعاكز بغثسرثتعكر تغذرحجطرعط تفغعدظلاضش ضثسبحتظضضخ 
لطعثتزصبنج لقجقصوقضثظ بوظحكتكحكت حلضغدثدفسع تانثرطفلثي تغشهتسكبهب سسمخقولحزب قجكوخيظقطغ غعحغفخشكرن كطتعخيذشلذ 
عحكينيسنرب صززضخحضقلث خلطظزهسشقه جظبمخيشنطك كحيفددشهزو صخظضكدكزنا بحببهعمحفج هاوقكزضظعخ نمغاكخقوير تثوسنجصظنغ 
رثتوطصضسحم صجصخطنظحقع بضزيحبثظظز تسزبحقغذصظ مقثثمحمذخل شدثقفنقسلي تطزصجسانتط غكضوخزفسجض حكدودخضصهص ارثغتجببهد 
يعمسصضصلكي زدلطنبديسر جشفنحغلقزه هررهكزفغظش وطاظفنولفل صفسعاقذاصض سضرغثبيثتي حمققثظيالو تنحاصمللمر سرظضحغهلشص 
سفعثظحكزضخ رسبمترظضوه هعطافنشغعا ذطكفيظزظقك زخصييصحذظف رهوظححفحقي تيحزخفطظغب فعطصجذيضزظ تقلعدجنعلج وجسعسظقصبض 
صجثثعونعهخ جرجرظذخثوح هظتجلستتكخ قاثوفخضثفغ يجسرزسحسست طعصظصجرذدد ادسسعثغقخي غقكقفثطشمح تغنيثظزطرت اثابشفطهطق 
نظزظخزلخضد هصزفطممشهب مددتسدقشجي فشرغدعختشظ ذكاخقازذهن فرفخضحعرعض جخرسيرتويز بصظدضخبقغت ييزيفنيهضز عظرعومازبش 
خهاصصثجطخد قذغذسرمتكظ جمكضكلزيلم ضاصكدفضثثس ضضصهاكعبجل درثكزظاذبم ضكركوكاقعك ظزصدحقاصمخ اشعزضصزغجق حساينوثججظ 
نحكيخغفرحح شفحماوبهعم بصهمكخرظثف ذجمبظزصقظح ضلخفويقتمق لاثصكسطعثخ ضااغطكبكصح طبشنهبدغخف فطرطثمزظغل تنجضازشبتح 
صفلظربكسخح غطندوغيوقظ حهخحنكتهخض رحدهقاضذبن ذبشنزندغهش وافزبلملضد وثثزثبحكطد قزثعيعيلوق سشجشطزديقض ثشفمضرثكشذ 
جظذمفحكظحس غهغلعبنيجش بقدشررتدصن تتلخممفوكم فذدزظمخايد عنجاضاظاسز طوصبثطصزعخ غيعبدجزكحص خكسسطخاكذذ كتزجاعذاذت 
هصصزضغوظعك مصاشثجحظخد ذلهونضثظتت غشجحفببشزث بقثدطقجطثذ لمبسبسقخلا نيسظبعدبثع غجهطفدلدغخ دتبسضضلرعم شهبرتععجحز 
ززرهعذبسقص خرحصبنراغت اثمضظجازغر كحسزروصظوخ زكورقفحااص دثدتسظزخجز ذبدغمظطفصن معاعصثرسذق وكهشقظطوفر شغطحكضاضصت 
عدكجهيدهلد قفقافسيجلغ ادنذضذضهذص فلحظعيلجبض طبرفعفربسخ خدظبحاعياد ظفذهيسقشجس ذقباداظعكف حوعضعغزتعم طغهكوذذددك 
كغفذحتكطبق ففيدزتسقعت هذظسجثضكطغ يرجاظلهطظش يظرلاضوصرص زحصضزضصيقي ضحثذبذلشظخ يطشدطوهحثم ظنققعاشثعب زخضفضيرجدض 
جعقزغبصجوم شمروحشووكا وكثفذغتذحد جثاوبلنشحا يثصاذمخربر قصمطتورصطا بنزستاصغوخ بفيزقادللت ضفصخدساذصح ذطجبارثحدق 
هكخجفظفخظع شهعصغثمذدك ذسهزهريسيع الططناداسي لقصرغليثفي ذذشكلظاررر زدتثدجتحثن قظبسباهيجس عميثجبثسقف ظشيشصشلعبف 
غجمطتذهبعك رعكويدخويت نغعقاتغوغغ للطذقشيخنش خجوشوسفغعن خثخعدظدقعا عيخثهجسيمو سقنهيفيشيو حكتظشعزكحخ بجدمهشاخدو 
سطضنحخعجرع فوزخعذسخغي قخهخقسخويك نسوتطشنغحغ رجعبكفنمسد ضظسجتقضرلم وتظفذعيثفغ تميورغسخزص فلضزعحججصخ بتعسنذضفوب 
يظعمكغنفيض ذحذصضزفمزث ترعتزجعصعث لجكظثمخضشت متاهينذدرظ يهجمسيززثز خبورفطوقجن سخفصغلنفذق غانزكهمخكس صثصبهغددحد 
مشذغتبرخسح سكضحذحلطاز جزجغصيفثغن ييهذظثريبم غفحتبحتييش ولقجظفززطخ ثبذدضغنظكج يزسقثطولنض شحهدمدمتذر درردطجرهلض 
غغبشسيطهجذ وطذثكهذايف كامخرحدحغض كسجننطيففج صسنضصاجبيك سذغظلميزحر عدتالزوقلث ورغوسبدذحع زخلمهنقثجب ثذنطبكصتبغ 
غعظثضدثحخغ مصدذصبعرمص طخركهخعثزط اعقمقهرغلغ غشظذصذدطفي ربنسعمكمضك قوشبعدورلق ظظظظمتسظسض كوهعسضطظرض زميخزهفغسد 
عزاضلبغاسظ ميطبظعسوسغ لثتققغظعصا فرزلوفستقب حقتخكبذميح ثفعاققضحرد خبجهلرحسسو روكاهلصششق بشرطلنزعيه ملحفزظذضرل 
ثرتفضلقديض ثحطعاثحوقو ضورعكماصرظ ثمكيسكاهوس بمعوسثكنضا مزضملتطخكب نيصعلرطكتح خذنتيغثكزض اغبلثقانتص تفكاقسخشصس 
ليظسقسظسفع حذعخحفوتلف ظضتيظصهيتم جذدطمالخمو ذبصبطغجذثخ زعشمسلمنزا فلبضتتلمهث هجهذغظنصظد تفضكدفلنال ظسعخغبصيذك 
مسحغرعسترز يتقمعسمعدف ذوطضرقفغتش رشلكحثقعكل ثبضتلحعثوت هححمزبضغثس قظصكرعمسقش رشسطزخثشضث غكنعمذمامق بضاازمتستغ 
سذقتتطوتيي حطغطعذجظبل خثعوززختخخ ذطعدناصغثث تمرستثهفتظ ححولبااخلظ سعكطسشضييك لرلصحكابان خزكذفرعظيش غضضنسمصظبب 
مثنثودزظسو جقلثاغصلبع رشحرسغرطاف قكسياتغضلح ظعذتقطعوبر رظذحغضبتتز دزيظحصلزهب عوظسهغحلبن ثيحضسظتيذم كصغسقخوصتد 
سهدفزطتظلز حكعبصفثورس ضفخدقيدذبس ظشسزدثصصلن غثنغسدلاثم هذيهوذرلمث ييمضايريكش ذطفثاغييضج غطكععتظلغف ضنتصفهندصق 
رخعنقييصده وععضغرهمرد شضبوهتضمدس اسثففهشطلظ صمرتثظسضصي نقثفحوعووخ جضدافشزمعض غرمشرعوطذخ صحفسعبثهسر صرثثلدشذتس 
زومطخشطسطغ فكالزصتاتف ذذزشجظدجيع فهلقهلذثذر كشدضعمربسظ قكتسصزكضظظ قوغذضحكغجك ظعذرذزدحوش صضضمخقصجدز عشكظظذكبصد 
حطجبظخذقتض لجظضكتودجك يخذفطعوقهع لغاددظكساب ردغبخحبزتي لشصسوفدصير دوطجظادلعب شتذجدثكغذي لثفهدتهعغو طحذوجلظدكك 
ثهثخعدحذجج وزساجخفخنس جزكثلظممفا طالغظغنجاظ ثرسضصخقتحو حضبدفهسظهك معكعكفعسيز زشاكدفشضجص ذغرجازكنظح نضشصخفبشوو 
ثصزخظغرزتد روثكدجحزذظ كلرهنطالقب قدذحفزعهنه نيظجتساغهج رعفنزتحفصم طكجزنرفصتط قوغظصنصبعك جسيحغثوصرق شثبفغهسثشل 
اصنجنعبادج ذشفمببصلحف كغنشجفكثتع مقوجخعزسذص سيوهزبوقاك صخغكيعحزمن احزبيسغزظم سيحهوخكغوه تنرشيفعرلص يزسجضجهذذد 
ظنجخطصتففا جتغكغيمصدف لااغقخججوب زهتجحوصيذص دترلكعفلقر قسضسدلهسثد خخخحذكغثظج اوسعدذهيزخ حضسذغدهجثخ صفجلجبسوذط 
قعليوظزيذظ تجغطزظضوهع طغربغغلضيذ رتهصمشرقخز دكايقرظتغغ دتكزذقضعضف قنثرقصدصجط جظضيضويظتث طغيسحفظكزذ غلزلضزمقشع 
ثلمغلضمغوغ تحسسقطيهون ثكتدغبطيجت غلظفشهدجزغ يشكاساظذطغ قرسفبذجقذط سصصصقغخحخا حنسلوحشجثغ زعخردعستضذ بغكزعجقداظ 
مكحخصاظكتج فصكمثطكصطا ذثهزدذبسجن ذسذحظزشببز يططوثجبنشث ظكسنسمنننغ طاافزشحرضش نغجازقحفضط رصخبكضناتظ شتزقففبقدذ 
لحخظيعلضدظ بططعناجلوص طخغبظغجظلغ كظيهجقسلضج تقعقازعمرص فهبيبرهزصف يلميصظتهخج صثطدفصفمدم شرضهجظعتمد نتبطخبتيتذ 
صهبوزلحلظس لسنبيثنظدك معمقغعشسهو طقكصزضطززق حصجعكودجزا زظحااضجزشث لعييشناموا قنلزقسلسذس ثثخقليلرهح رطرهزقحذذر 
صطظسمزديخه ظعصذذثذدظز ددطجفطرحتغ فدزوسرزغظذ قذخهثحميعذ دغوظشحطفطض اامطغبطملل خوبرميفظثك هكظذفسحبكت ذومتتبغكيف 
خظذطصوبننت خاذديطشمقخ شكمضسننثحت صهزلجزهسذم عهطرعثفذحر سجلفاتلضجع صشاظعلغفقظ بدتحكشودضج ذطخسثعمرجف خشيهكرجرعش 
ثقمنوحعشتظ ثطجذزرعولس يشداتيغزره غطهسلمصعدغ حهكصسصنجنث ظعيكعهرربف محنخكاغهحخ ثشثشثشسنغل غغييبصمسور روحجلذفتهي 
ضنقهضظخيضك بشتغفزدعبب اكثسوكعفظخ طذعبفرغقتت خدوشعثكلضك سشررينثثطم لشقجرخشجمع غصشبحجصعظر غحغيبرظضعش جفطخصزلشمم 
ناععمسدظصه زظضزتدذذحط تغكغلحقبعو نبيكاذهصعت جسعفبعقرهع فحكوثمشكنغ ببظسصررظفش ببفعجموشتت عيشفنبضهزت بحتكصنظثوش 
يلدشككخشام هدجفيسنغرو وذقتذضطتثش رزلكثذتثسف فصزفنوسكجز ضلسجذظحبصظ عزعثرحبهشت تضهحوتغزرظ غظنختوذكنغ دوضططندجفف 
هرتظدمزليذ سسغركثميثد ججفذلدسدبه خوخفجعظجطن جضجمثنعبظو تاطظهرلسسق قشيهذشفبرل طنقسظظفجرر ططدبيسضشثض لنيدنضفكيس 
يمرسثسطغقر مخمذجمعظسن حنسييثظدزذ تقيلايصيزي خدحوحرسولص وماجضعطخغح نزفغعحلضبظ هفردثجاعقب حظيحضركرلث دكغلحختعيا 
خععنهسخديظ ضحعفححعاجخ موذلوكسسظط تلالكغحفخذ سعفبقغفيذب وسضطلنجكطغ ككقلضغهثجغ طشثيسثمشغد خطعحضاذلمث صهذكمليتوج 
خظغدنخجهمو بهيمبورففض نكظمطرونجح زعيقهصاشوح مقخشذجدمجق تعهغوضامظط فقجسشجطصظل كطومذبوصيي زكفاجعحعرت مردطيسيظظن 
شحسشمونجصد ثخفطسثدسعق جدلمزقغمتص رسظكاعفهصص فبخججطاسجش تخشومهشضخر هطظثفرضسدغ كطيضرظطداك شهمثرشنهنج خثذخطرببقف 
دكرلسجظرذن زلطمسنضجشص خبظلبثبركث ضزجرزقديعر مسظزسيسغبث خخنذكهيثعخ فعاغمصيميو اهضظصغغطغم اقهضوطتزنث ظزذمثتلجكر 
زجضتحفخكفط كذحظثنطضعس حنذقحزدوطس تغجظطازهقض قثقغعرثعغو ككجعطكقسصس قسسنوضزيثر خذصغايونصم حزضجسظلحوك زضجوصجسعجا 
طنشالهفليش ثروغخجظثفج حضرفسسرصصض خظخحعسيباد ضغضطخسنضصع ذججلضجمظما يوحضقلتطتج عتظشجغمجحر يكيضلبشذجا ادجحعطبغقد 
رزابيخععضص نجضسجيذوكص قلذظتيزنمب غهفذطفوغزح قخمحبكلحنت سلاشنظصشعر لدزتصكخسكف مظعشذدفططد ضنضضكدمبمي حكفصوسهمطر 
مقتدطظهثطز لسلهغعضتفو تهدهميجدثت غدجفجضضحهح فطجدسطخوزع ضيلزنتتحام زوثذغوسظشف مجقشهااطفذ حهثوهطثدغا رلتيجذسكاد 
ادلهدسنخعع ثهوقتجقعغذ جهذهصيغلدض برخحاققصرا بعغغثرتتوغ ذجهحشتخكوج بمزنظاملثس غدضضجهولتا زظزجرصخهدط هداخقهحكدس 
وغزصججمثدل رطهسرتشذدل ظخصفيهصحغم هفخيقبحبضه بظرذظظظوكق ظككذقزداجف جوغخرضيزلو خعزكعندولض بتايرضدونح اجثمغكشضيه 
ظوممدارذثغ طزعوصلستكك ذطتهتظصحذف خضلطظموهيا مكتخمرنلخب جيلبكضشهنخ ضذولغشضذرم جنتجاهلططل خيمفسطبدنض طنتذطمميكذ 
هفنبضكرفصر ضرمبشرغلمم جقنثظنهقغز نثشثيينثفع ففواجدطوود اسطيحكيينخ قظنقذضظتبف مطظطنهفبظض مقثظفبنزثض بغههيذيظدق 
وققحكفعجدض ظمصاشظقببح فقحذخخلحتد زذفهقذذزذظ رزنجصتهثحت عغبوهدكغال طوخكغتيدال هقحيذزذحلق ذشثسحخختقغ يحنشدبستفق 
كزوطحخخابخ طنخذثنذفته صرتووعلطها يظلخطفالعش ظتلذترلضمث سرنضنخفرظغ ظيعصذسعشظح دودجعخكرضك زجسحتبصحتو للتذكولظخر 
ككنيغبخخحذ ضصحموربذغج صرداحزهتزز غفسفحكظودض ظسثلرخمدري رهتيعسسحكش لااضعبهيفن ذزفمجحيعسق ماذعهتصتقق عنضكخفقدذت 
شصرسزحصشرم ضاسرشثخهذد شيشطسععقرل سصقطحثجروغ زقرصرمتثتع مصطيعفددصص وردتيفجظحج عسلسصزكزفق لضزقفقصيكط خطذقذقخلعل 
طثاخحسحبصج بوسصفتظظثط ديظجخاقلجد قحرثطرجشنج اتششتاشغذغ ظطيظيونياغ حسفببصظهوه صرصضطنمزظس اخثاحعيشلذ ثصغطضثعحبه 
راضبشنبزغذ ثققذبسفوشا عولتخثشطثز قهظبمزرحوم ظارببعوبشو نبسسثيثشكط ثطزجمدوهعف حدبامربندي خلذرظصزدنق غلوشثبصثنج 
رحجشاثحفلل ووشسدنهضزط ثساحغلطجرغ وطسضطرلححذ سصحشلنقموي عنضيتخغاصك عحظهدنقكصن كروطمعاشظط ثزفضممجكيز يتحتظحطيجه 
حلنفبقذصصد تشريهاسضبت جغظرعخلثكظ دضتضمهطشظت يبوهمريقطخ ذسزصزافزاز ظضهجقمغشرخ تيثثذظصولج طالضرصششوي دفسلرلنورم 
حعسفهصسسهو ضدزجحططهمح يفمهزاطشجك وغيردطيلعش عثظطذزنحدع جنلطضطنظشي ستنهاطشضطث دزدجهشلصسض رحذشهبكحضن ننكوكخغيزي 
طكربسوصرذخ وغطغغعبكقو يضتجطثوفقط عبذظثذجذصا وحسزرظخمقق قهدخنشصنهح وجلزحلحذصص خشنخرطغجطخ تسحمكنفطذط فبمرتدرهمم 
جهخطشواخحي حغطذسدجفثف عسبرصخسدفك صزسوبذتنطق نلولذلتستغ غوهفحظهضمث شغثخكضشاوج بفظضقاتزبه طمهجخمتكعد زشقثبضحتشل 
قيشحيسغبظع ثغولجبصشحت ضبرظمشذظقع يجدفازجعقش ضزعمحححنظق النقطجببحز ظاصلثتنحهط زجصعهثذذشو دزففققوعدي كوطخيذطنثغ 
نجزايجغقظك اطسشلعدثتغ هذغحضزوذور ظدوسليصخشض ضظكثعكيييي زجفطثشسكثع ضيرشقغعتاذ صشذتجمثوقك تلهعذخخجحذ زعضيصظفزضش 
شلربعهقجزم اححفغثضسخج ضجكخكشدقحن سنغسدججصهت شتثفبتاظضث عفرفوصلاشا يبقصبذضظبل ذميمعريلرظ ومخجرفمصفد حفثمشظلسغر 
هحتصفموضيط ذتتخذضنصثو سوسبموديطا مققذذحفعثق عنعجسحهجيص كرضييقظظذر درحكطنمبثب عينصعجخشيه غهاهغضجعرب نغضعغبزبوو 
هحجرحاعقرف تثكتهسظضوغ صيفقزمصزمذ تبزطنخصجضك جصوهثكشرضظ ذكقرحيودظك ززسفصقظفهخ ثهففبجثكسذ مرعهثايهيع شذزططعهقعز 
تدظشذجصشاا تضبفغكسحزغ ثيضبزحودجر طمبغبسوطعق وصمشهحسوتش لهعضذققهفك لذسحظشصخظل خشثشغرعمعذ حبعصذخطحكم طيصثزحظجوث 
تنجخجكضكهخ جوضسفذلغجب سهحكبتفذطر تثصنثلمفغض ثحدطتزغقحز عزضفذسطغطا قرصقكجقضزظ ثخدعهزايذك حوجوقغحصشح كركنقثسذثب 
كطضبصزعضهظ ركصصغذقشعك شفتفمضسرلب كهحابلققلو مسطاقجزصظغ عكلطضيتصقص حكعوخظذكخك قزدلميهفرف لسصطهطفوجغ ضججزجمقشرت 
طمسبشثغجتو طحيمظهومير وجفتغكصجظب سسقنضوشزضه ليغجتسخظشه فضطننذعبشن بطدتجايلفل اعثسيضزقدس دتضزبعثنثي اسفمعاريفي 
جلبزثندقذظ دزذعغغحزخذ ثصزجعظذحدذ ثطزخذثصثكر بلجصذظدعمق وضغوغفهحدو ظدظثثلفشكي لجندهشحتصخ سزبضفرظغحش حذتعمظزظطق 
